2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620158, 's': 'XRPUSDT', 'a': 608430293, 'p': '2.15850000', 'q': '1043.70000000', 'f': 1187751829, 'l': 1187751829, 'T': 1750207620157, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620158, 's': 'XRPUSDT', 'a': 608430294, 'p': '2.15850000', 'q': '169.50000000', 'f': 1187751830, 'l': 1187751830, 'T': 1750207620157, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620158, 's': 'XRPUSDT', 'a': 608430295, 'p': '2.15850000', 'q': '1871.70000000', 'f': 1187751831, 'l': 1187751832, 'T': 1750207620157, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620159, 's': 'XRPUSDT', 'a': 608430296, 'p': '2.15850000', 'q': '28.70000000', 'f': 1187751833, 'l': 1187751834, 'T': 1750207620159, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620160, 's': 'XRPUSDT', 'a': 608430297, 'p': '2.15840000', 'q': '633.20000000', 'f': 1187751835, 'l': 1187751840, 'T': 1750207620160, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620161, 's': 'XRPUSDT', 'a': 608430298, 'p': '2.15840000', 'q': '84.70000000', 'f': 1187751841, 'l': 1187751841, 'T': 1750207620160, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620161, 's': 'XRPUSDT', 'a': 608430299, 'p': '2.15840000', 'q': '302.70000000', 'f': 1187751842, 'l': 1187751842, 'T': 1750207620160, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620161, 's': 'XRPUSDT', 'a': 608430300, 'p': '2.15840000', 'q': '494.40000000', 'f': 1187751843, 'l': 1187751843, 'T': 1750207620160, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620162, 's': 'XRPUSDT', 'a': 608430301, 'p': '2.15840000', 'q': '2.50000000', 'f': 1187751844, 'l': 1187751844, 'T': 1750207620161, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620162, 's': 'XRPUSDT', 'a': 608430302, 'p': '2.15840000', 'q': '207.30000000', 'f': 1187751845, 'l': 1187751845, 'T': 1750207620161, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620162, 's': 'XRPUSDT', 'a': 608430303, 'p': '2.15840000', 'q': '44.60000000', 'f': 1187751846, 'l': 1187751846, 'T': 1750207620161, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620162, 's': 'XRPUSDT', 'a': 608430304, 'p': '2.15840000', 'q': '86.00000000', 'f': 1187751847, 'l': 1187751847, 'T': 1750207620162, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620162, 's': 'XRPUSDT', 'a': 608430305, 'p': '2.15840000', 'q': '18.50000000', 'f': 1187751848, 'l': 1187751848, 'T': 1750207620162, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620162, 's': 'XRPUSDT', 'a': 608430306, 'p': '2.15840000', 'q': '13.10000000', 'f': 1187751849, 'l': 1187751849, 'T': 1750207620162, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620162, 's': 'XRPUSDT', 'a': 608430307, 'p': '2.15840000', 'q': '247.20000000', 'f': 1187751850, 'l': 1187751850, 'T': 1750207620162, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620162, 's': 'XRPUSDT', 'a': 608430308, 'p': '2.15840000', 'q': '151.40000000', 'f': 1187751851, 'l': 1187751851, 'T': 1750207620162, 'm': True, 'M': True}
2025-06-17 18:47:00 - src.collectors.binance - ERROR - Error parsing Binance trade: 't', data: {'e': 'aggTrade', 'E': 1750207620164, 's': 'XRPUSDT', 'a': 608430309, 'p': '2.15840000', 'q': '43.00000000', 'f': 1187751852, 'l': 1187751852, 'T': 1750207620163, 'm': True, 'M': True}
